date,index,food,clothing,health,communications,recreation,meanIbexValue,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014-04,4.6470412300634,4.65028694479121,4.65463631211994,4.70870102881498,4.47192446684073,4.61725684712324,9.24954517445962,0,0,0,1,0,0,0,0,0,0,0,0
2014-05,4.64726177423306,4.64692614422842,4.67759316791421,4.70889937175057,4.47136447002608,4.60290762833383,9.26464490623889,0,0,0,0,1,0,0,0,0,0,0,0
2014-06,4.64754936746318,4.64650404948107,4.66482492585634,4.70931396171802,4.47059825218832,4.60961031401411,9.30772660406246,0,0,0,0,0,1,0,0,0,0,0,0
2014-07,4.63810193422307,4.64673430506578,4.52626766139205,4.70807869794037,4.45808449028295,4.62240088124976,9.28288487097757,0,0,0,0,0,0,1,0,0,0,0,0
2014-08,4.63967788725132,4.64922534818426,4.51351531738638,4.70880020520027,4.45814241126716,4.63196789837347,9.25263410300648,0,0,0,0,0,0,0,1,0,0,0,0
2014-09,4.64119348516475,4.65021047099779,4.56177195916262,4.70620033914544,4.45787594695732,4.60308801978377,9.29608910845818,0,0,0,0,0,0,0,0,1,0,0,0
2014-10,4.6458513705951,4.65554956288024,4.66610534781728,4.70751014435241,4.44262772680173,4.59407890449822,9.23611388927714,0,0,0,0,0,0,0,0,0,1,0,0
2014-11,4.64515022616424,4.65504547548174,4.71577194231589,4.70684190639872,4.44226294581337,4.58617083597831,9.24757444984495,0,0,0,0,0,0,0,0,0,0,1,0
2014-12,4.63930104470424,4.65453161552582,4.69526679873953,4.7055402701307,4.44221586760468,4.60254674778138,9.25290886114469,0,0,0,0,0,0,0,0,0,0,0,1
2016-01,4.62021642152666,4.67796515367144,4.53438284826638,4.7034668110132,4.44939318441625,4.58470213734823,9.08115223813896,1,0,0,0,0,0,0,0,0,0,0,0
2016-02,4.61668365094598,4.67250167814838,4.51805334889229,4.70317672734016,4.46410189070541,4.59005654817804,9.01840374071573,0,1,0,0,0,0,0,0,0,0,0,0
2016-03,4.62307886403138,4.67207153843985,4.5597438577733,4.70410107583096,4.46406734501009,4.59845770762852,9.09088526905127,0,0,1,0,0,0,0,0,0,0,0,0
2016-04,4.6300676556426,4.6737629774537,4.66085084181465,4.7062997638381,4.47066689264961,4.57728498249856,9.08770887360274,0,0,0,1,0,0,0,0,0,0,0,0
